type,broker,price,beds,baths,sqft,address,state,address_full,lat,lon,sub_locality
Co-op,"Fillmore Real Estate Fusion Team, INC.",800000,2,1,1200,100 Avenue P Apt 1H,"Brooklyn, NY 11204","100 Avenue P Apt 1HBrooklyn, NY 11204",40.6072346,-73.9847935,Kings County
Co-op,Keller Williams NYC,750000,1,1,2184,120 E 36th St Ph B,"New York, NY 10016","120 E 36th St Ph BNew York, NY 10016",40.7477728,-73.9794793,New York County
Condo,Douglas Elliman - 575 Madison Ave,1750000,2,2,1320,199 Conover St Unit 2B,"Brooklyn, NY 11231","199 Conover St Unit 2BBrooklyn, NY 11231",40.6774843,-74.0147997,Kings County
Condo,COMPASS,2750000,2,2,1488,30 Orchard St Ph B,"Manhattan, NY 10002","30 Orchard St Ph BManhattan, NY 10002",40.7155919,-73.9912903,New York County
Condo,COMPASS,698000,1,1,2184,70 W 139th St Apt 8I,"Manhattan, NY 10037","70 W 139th St Apt 8IManhattan, NY 10037",40.8162042,-73.9383242,New York County
Co-op,Douglas Elliman - 575 Madison Ave,425000,1,1,2184,333 E 66th St Apt 9R,"New York, NY 10065","333 E 66th St Apt 9RNew York, NY 10065",40.7643711,-73.9593578,New York County
Condo,NoBroker,3999999,2,2,1997,527 W 27th St Unit 5S,"New York, NY 10001","527 W 27th St Unit 5SNew York, NY 10001",40.7509451,-74.0035855,New York County
Condo,Bond New York- Columbus Circle,2295000,3,3,1615,166 E 63rd St Apt 10C,"New York, NY 10065","166 E 63rd St Apt 10CNew York, NY 10065",40.7641145,-73.9651826,New York County
Multi-family home,RE MAX Elite,689900,3,4,2448,179 Ada Dr,"Staten Island, NY 10314","179 Ada DrStaten Island, NY 10314",40.6210192,-74.1602713,Richmond County
Co-op,Exp Realty,243000,2,1,965,8 Fordham Hill Oval Apt 12C,"Bronx, NY 10468","8 Fordham Hill Oval Apt 12CBronx, NY 10468",40.8643305,-73.9075188,Bronx County
Co-op,LoHo Realty Inc,1995000,4,2,2184,453 Fdr Dr Unit C803-804,"New York City, NY 10002","453 Fdr Dr Unit C803-804New York City, NY 10002",40.7129113,-73.9781415,New York County
Co-op,KELLER WILLIAMS REALTY LANDMARK II,250000,3,1,2184,5128 30th Ave Apt 5H,"Woodside, NY 11377","5128 30th Ave Apt 5HWoodside, NY 11377",40.7593913,-73.9054195,Queens County
House,Home Source Realty Inc,845000,4,2,2184,202-08 100th Ave,"Hollis, NY 11423","202-08 100th AveHollis, NY 11423",40.7108416,-73.7572751,Queens County
Condo,All American Realty Management,599888,1,1,826,2962847 33 48th St Unit 4G,"Queens, NY 11104","2962847 33 48th St Unit 4GQueens, NY 11104",40.7436341,-73.916415,Queens County
Co-op,E Realty International Corp,325000,2,1,2184,99-30 59 Ave Unit L1,"Corona, NY 11368","99-30 59 Ave Unit L1Corona, NY 11368",40.7373584,-73.8574251,Queens County
Townhouse,Bold Realty Corp,999000,4,2,2184,30 Cedar St,"Brooklyn, NY 11221","30 Cedar StBrooklyn, NY 11221",40.6964448,-73.9283241,Kings County
Condo,E Realty International Corp,688000,3,2,982,844 50th St Apt 5A,"Brooklyn, NY 11220","844 50th St Apt 5ABrooklyn, NY 11220",40.6403284,-74.0028134,Kings County
House,COMPASS,950000,3,2,1308,133 W 195th St,"Bronx, NY 10468","133 W 195th StBronx, NY 10468",40.8704967,-73.9011805,Bronx County
Co-op,Coldwell Banker American Homes,249000,1,1,750,99-60 63rd Rd Unit 9P,"Rego Park, NY 11374","99-60 63rd Rd Unit 9PRego Park, NY 11374",40.7326518,-73.8546547,Queens County
Co-op,Spire Group Inc.- Main Office,465000,1,1,2184,444 E 52nd St Apt 6E,"New York, NY 10022","444 E 52nd St Apt 6ENew York, NY 10022",40.754143,-73.963502,New York County
Condo,E Realty International Corp,409000,1,1,559,132-18 Avery Ave Unit 3D,"Flushing, NY 11355","132-18 Avery Ave Unit 3DFlushing, NY 11355",40.7523131,-73.8324302,Queens County
Condo,United Real Estate Fortune,630000,2,2,750,142-25 37th Ave Unit 6B,"Flushing, NY 11354","142-25 37th Ave Unit 6BFlushing, NY 11354",40.7627502,-73.8267096,Queens County
